Gene ID;source_id;Organism;Product Description;Gene Name or Symbol;Computed GO Components;Computed GO Function IDs;Computed GO Functions;Computed GO Process IDs;Computed GO Processes;Curated GO Component IDs;Curated GO Components;Curated GO Function IDs;Curated GO Functions;Curated GO Process IDs;Curated GO Processes;Computed GO Component IDs
PF3D7_0103700;PF3D7_0103700.1;Plasmodium falciparum 3D7;L-seryl-tRNA(Sec) kinase, putative;PSTK;null;"GO:0005524;GO:0016301";"ATP binding;kinase activity";null;null;null;null;null;null;null;null;null
PF3D7_0104100;PF3D7_0104100.1;Plasmodium falciparum 3D7;conserved Plasmodium membrane protein, unknown function;null;null;null;null;GO:0006810;transport;"GO:0009986;GO:0016021";"cell surface;integral component of membrane";null;null;null;null;null
PF3D7_0104400;PF3D7_0104400.1;Plasmodium falciparum 3D7;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;LytB;null;"GO:0051745;GO:0046872";"4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding";"GO:0050992;GO:0019288";"dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway";GO:0020011;apicoplast;GO:0051745;4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;GO:0019288;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;null
PF3D7_0104500;PF3D7_0104500.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0105400;PF3D7_0105400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_0105400;PF3D7_0105400.2;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0105600;PF3D7_0105600.1;Plasmodium falciparum 3D7;FtsJ-like methyltransferase, putative;null;null;GO:0008168;methyltransferase activity;GO:0032259;methylation;null;null;null;null;null;null;null
PF3D7_0106200;PF3D7_0106200.1;Plasmodium falciparum 3D7;EF hand domain-containing protein, putative;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0106300;PF3D7_0106300.1;Plasmodium falciparum 3D7;calcium-transporting ATPase;ATP6;integral component of membrane;GO:0000166;nucleotide binding;null;null;null;null;GO:0005388;calcium-transporting ATPase activity;"GO:0006816;GO:0042493";"calcium ion transport;response to drug";GO:0016021
PF3D7_0106700;PF3D7_0106700.1;Plasmodium falciparum 3D7;small ribosomal subunit assembling AARP2 protein;AARP2;nucleus;null;null;GO:0042254;ribosome biogenesis;GO:0005886;plasma membrane;null;null;null;null;GO:0005634
PF3D7_0106800;PF3D7_0106800.1;Plasmodium falciparum 3D7;ras-related protein Rab-5C;RAB5c;null;"GO:0005525;GO:0003924";"GTP binding;GTPase activity";null;null;GO:0005829;cytosol;GO:0003924;GTPase activity;null;null;null
PF3D7_0106900;PF3D7_0106900.1;Plasmodium falciparum 3D7;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative;IspD;null;"GO:0050518;GO:0003824;GO:0070567";"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity;catalytic activity;cytidylyltransferase activity";GO:0008299;isoprenoid biosynthetic process;GO:0020011;apicoplast;null;null;GO:0042493;response to drug;null
PF3D7_0107200;PF3D7_0107200.1;Plasmodium falciparum 3D7;CCR4 domain-containing protein 3, putative;CCR4-3;null;null;null;null;null;GO:0005634;nucleus;GO:0004518;nuclease activity;null;null;null
PF3D7_0107400;PF3D7_0107400.1;Plasmodium falciparum 3D7;ATP synthase-associated protein, putative;null;null;null;null;null;null;GO:0005739;mitochondrion;null;null;null;null;null
PF3D7_0107700;PF3D7_0107700.1;Plasmodium falciparum 3D7;dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative;null;null;null;null;null;null;"GO:0020011;GO:0009986;GO:0044164;GO:0033644";"apicoplast;cell surface;host cell cytosol;host cell membrane";GO:0004579;dolichyl-diphosphooligosaccharide-protein glycotransferase activity;null;null;null
PF3D7_0108000;PF3D7_0108000.1;Plasmodium falciparum 3D7;proteasome subunit beta type-3, putative;null;proteasome core complex;GO:0004298;threonine-type endopeptidase activity;GO:0051603;proteolysis involved in cellular protein catabolic process;GO:0019774;proteasome core complex, beta-subunit complex;GO:0004175;endopeptidase activity;GO:0006511;ubiquitin-dependent protein catabolic process;GO:0005839
PF3D7_0108500;PF3D7_0108500.1;Plasmodium falciparum 3D7;EELM2 domain-containing protein, putative;null;null;null;null;null;null;"GO:0020036;GO:0005634";"Maurer's cleft;nucleus";null;null;null;null;null
PF3D7_0108800;PF3D7_0108800.1;Plasmodium falciparum 3D7;mitochondrial carrier protein, putative;null;"integral component of membrane;mitochondrial inner membrane;mitochondrion";GO:0005215;transporter activity;GO:0006810;transport;null;null;null;null;null;null;"GO:0016021;GO:0005743;GO:0005739"
PF3D7_0109000;PF3D7_0109000.1;Plasmodium falciparum 3D7;photosensitized INA-labeled protein PHIL1;PHIL1;null;null;null;null;null;GO:0070258;inner membrane pellicle complex;GO:0005515;protein binding;null;null;null
PF3D7_0109600;PF3D7_0109600.1;Plasmodium falciparum 3D7;cold-shock protein, putative;null;null;"GO:0003677;GO:0003676";"DNA binding;nucleic acid binding";GO:0006355;regulation of transcription, DNA-templated;null;null;GO:0003690;double-stranded DNA binding;"GO:0035556;GO:0006355";"intracellular signal transduction;regulation of transcription, DNA-templated";null
PF3D7_0109850;PF3D7_0109850.1;Plasmodium falciparum 3D7;phosphatidate cytidylyltransferase, putative;null;null;null;null;null;null;"GO:0020011;GO:0016021";"apicoplast;integral component of membrane";null;null;null;null;null
PF3D7_0109950;PF3D7_0109950.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0110000;PF3D7_0110000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0110600;PF3D7_0110600.1;Plasmodium falciparum 3D7;phosphatidylinositol-4-phosphate 5-kinase;PIP5K;null;"GO:0005509;GO:0016307";"calcium ion binding;phosphatidylinositol phosphate kinase activity";GO:0046488;phosphatidylinositol metabolic process;null;null;"GO:0016308;GO:0030306;GO:0016773";"1-phosphatidylinositol-4-phosphate 5-kinase activity;ADP-ribosylation factor binding;phosphotransferase activity, alcohol group as acceptor";"GO:0046854;GO:0042493";"phosphatidylinositol phosphorylation;response to drug";null
PF3D7_0111600;PF3D7_0111600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0112400;PF3D7_0112400.1;Plasmodium falciparum 3D7;unspecified product;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0112700;PF3D7_0112700.1;Plasmodium falciparum 3D7;28S ribosomal RNA;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0112800;PF3D7_0112800.1;Plasmodium falciparum 3D7;Plasmodium exported protein (hyp11), unknown function;null;null;null;null;null;null;GO:0020002;host cell plasma membrane;null;null;null;null;null
PF3D7_0113100;PF3D7_0113100.1;Plasmodium falciparum 3D7;surface-associated interspersed protein 1.1 (SURFIN 1.1);SURF1.1;null;null;null;null;null;"GO:0009986;GO:0044228";"cell surface;host cell surface";null;null;null;null;null
PF3D7_0113200;PF3D7_0113200.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;GO:0043657;host cell;null;null;null;null;null
PF3D7_0113300;PF3D7_0113300.1;Plasmodium falciparum 3D7;Plasmodium exported protein (hyp1), unknown function;null;membrane;null;null;null;null;GO:0043657;host cell;null;null;null;null;GO:0016020
PF3D7_0114100;PF3D7_0114100.1;Plasmodium falciparum 3D7;Pfmc-2TM Maurer's cleft two transmembrane protein;MC-2TM;null;null;null;null;null;"GO:0020036;GO:0016021;GO:0005634;GO:0020005";"Maurer's cleft;integral component of membrane;nucleus;symbiont-containing vacuole membrane";null;null;GO:0042000;translocation of peptides or proteins into host;null
PF3D7_0114300;PF3D7_0114300.1;Plasmodium falciparum 3D7;exported protein family 4, pseudogene;EPF4;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0115100;PF3D7_0115100.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTa), unknown function;null;null;null;null;null;null;GO:0043657;host cell;null;null;null;null;null
PF3D7_0200200;PF3D7_0200200.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0200700;PF3D7_0200700.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0201100;PF3D7_0201100.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function, fragment;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0201200;PF3D7_0201200.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0201400;PF3D7_0201400.1;Plasmodium falciparum 3D7;Plasmodium exported protein (hyp10), unknown function;null;"integral component of membrane;membrane";null;null;null;null;GO:0043657;host cell;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_0201500;PF3D7_0201500.1;Plasmodium falciparum 3D7;Plasmodium exported protein (hyp9), unknown function;null;membrane;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;GO:0016020
PF3D7_0201700;PF3D7_0201700.1;Plasmodium falciparum 3D7;DnaJ protein, putative;null;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_0202600;PF3D7_0202600.1;Plasmodium falciparum 3D7;nucleic acid-binding protein, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0203000;PF3D7_0203000.1;Plasmodium falciparum 3D7;repetitive organellar protein, putative;ROPE;null;null;null;null;null;GO:0020008;rhoptry;null;null;null;null;null
PF3D7_0203100;PF3D7_0203100.1;Plasmodium falciparum 3D7;protein kinase, putative;null;null;"GO:0005524;GO:0004672";"ATP binding;protein kinase activity";GO:0006468;protein phosphorylation;null;null;GO:0004674;protein serine/threonine kinase activity;GO:0006468;protein phosphorylation;null
PF3D7_0203500;PF3D7_0203500.1;Plasmodium falciparum 3D7;tRNA Glutamine;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0203800;PF3D7_0203800.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;GO:0005515;protein binding;null;null;null;null;null;null;null;null;null
PF3D7_0204400;PF3D7_0204400.1;Plasmodium falciparum 3D7;dynein light chain, putative;null;dynein complex;null;null;GO:0007017;microtubule-based process;null;null;null;null;null;null;GO:0030286
PF3D7_0204900;PF3D7_0204900.1;Plasmodium falciparum 3D7;2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative;COQ5;null;GO:0008168;methyltransferase activity;null;null;"GO:0005759;GO:0044310";"mitochondrial matrix;osmiophilic body";GO:0043334;2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;GO:0006744;ubiquinone biosynthetic process;null
PF3D7_0205300;PF3D7_0205300.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0205500;PF3D7_0205500.1;Plasmodium falciparum 3D7;DNA-directed RNA polymerase II 16 kDa subunit, putative;null;RNA polymerase complex;"GO:0003824;GO:0000166";"catalytic activity;nucleotide binding";"GO:0006352;GO:0044237";"DNA-templated transcription, initiation;cellular metabolic process";GO:0005634;nucleus;GO:0003899;DNA-directed 5'-3' RNA polymerase activity;GO:0006366;transcription by RNA polymerase II;GO:0030880
PF3D7_0205600;PF3D7_0205600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_0206300;PF3D7_0206300.1;Plasmodium falciparum 3D7;pentafunctional AROM polypeptide, putative, pseudogene;AROM;null;GO:0003824;catalytic activity;null;null;null;null;null;null;null;null;null
PF3D7_0207100;PF3D7_0207100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0207300;PF3D7_0207300.1;Plasmodium falciparum 3D7;serine repeat antigen 8;SERA8;mitochondrion;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;null;null;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;GO:0005739
PF3D7_0207500;PF3D7_0207500.1;Plasmodium falciparum 3D7;serine repeat antigen 6;SERA6;null;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;"GO:0005634;GO:0020003";"nucleus;symbiont-containing vacuole";GO:0008234;cysteine-type peptidase activity;"GO:0035891;GO:0002377;GO:0006508;GO:0050776";"exit from host cell;immunoglobulin production;proteolysis;regulation of immune response";null
PF3D7_0207700;PF3D7_0207700.1;Plasmodium falciparum 3D7;serine repeat antigen 4;SERA4;null;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;GO:0020003;symbiont-containing vacuole;GO:0008234;cysteine-type peptidase activity;"GO:0002377;GO:0006508;GO:0050776";"immunoglobulin production;proteolysis;regulation of immune response";null
PF3D7_0207800;PF3D7_0207800.1;Plasmodium falciparum 3D7;serine repeat antigen 3;SERA3;null;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;null;null;GO:0008234;cysteine-type peptidase activity;"GO:0002377;GO:0006508;GO:0050776";"immunoglobulin production;proteolysis;regulation of immune response";null
PF3D7_0208200;PF3D7_0208200.1;Plasmodium falciparum 3D7;KRR1 small subunit processome component, putative;KRR1;null;GO:0003723;RNA binding;null;null;"GO:0005634;GO:0030688";"nucleus;preribosome, small subunit precursor";null;null;"GO:0006364;GO:0042274";"rRNA processing;ribosomal small subunit biogenesis";null
PF3D7_0208700;PF3D7_0208700.1;Plasmodium falciparum 3D7;SHS2 domain-containing protein, putative;null;null;GO:0003899;DNA-directed 5'-3' RNA polymerase activity;GO:0006351;transcription, DNA-templated;null;null;null;null;null;null;null
PF3D7_0208700;PF3D7_0208700.2;Plasmodium falciparum 3D7;unspecified product;null;null;GO:0003899;DNA-directed 5'-3' RNA polymerase activity;GO:0006351;transcription, DNA-templated;null;null;null;null;null;null;null
PF3D7_0209200;PF3D7_0209200.1;Plasmodium falciparum 3D7;exosome complex component MTR3, putative;MTR3;null;null;null;null;null;"GO:0000178;GO:0044310";"exosome (RNase complex);osmiophilic body";null;null;null;null;null
PF3D7_0209300;PF3D7_0209300.1;Plasmodium falciparum 3D7;2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;IspF;null;GO:0008685;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity;GO:0016114;terpenoid biosynthetic process;GO:0020011;apicoplast;null;null;null;null;null
PF3D7_0209600;PF3D7_0209600.1;Plasmodium falciparum 3D7;transporter, putative;null;integral component of membrane;GO:0005328;neurotransmitter:sodium symporter activity;GO:0006836;neurotransmitter transport;GO:0016021;integral component of membrane;null;null;null;null;GO:0016021
PF3D7_0209800;PF3D7_0209800.1;Plasmodium falciparum 3D7;ATP-dependent RNA helicase UAP56;UAP56;null;"GO:0005524;GO:0003676";"ATP binding;nucleic acid binding";null;null;"GO:0036396;GO:0005737;GO:0005634";"RNA N6-methyladenosine methyltransferase complex;cytoplasm;nucleus";"GO:0004004;GO:0003723";"ATP-dependent RNA helicase activity;RNA binding";null;null;null
PF3D7_0210100;PF3D7_0210100.1;Plasmodium falciparum 3D7;60S ribosomal protein L37ae, putative;null;"intracellular;mitochondrion;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0022625;GO:0005634";"cytosolic large ribosomal subunit;nucleus";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005739;GO:0005840"
PF3D7_0210600;PF3D7_0210600.1;Plasmodium falciparum 3D7;protein CERLI1;CERLI1;null;null;null;null;null;"GO:0045177;GO:0020008;GO:0033016";"apical part of cell;rhoptry;rhoptry membrane";GO:0008289;lipid binding;GO:0044409;entry into host;null
PF3D7_0211500;PF3D7_0211500.1;Plasmodium falciparum 3D7;GAF domain-related protein, putative;null;membrane;GO:0005515;protein binding;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_0212100;PF3D7_0212100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;"GO:0034399;GO:0005634";"nuclear periphery;nucleus";null;null;null;null;null
PF3D7_0212200;PF3D7_0212200.1;Plasmodium falciparum 3D7;ribosomal protein L12, mitochondrial, putative;null;null;GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005739;GO:0005634";"mitochondrion;nucleus";null;null;null;null;null
PF3D7_0212600;PF3D7_0212600.1;Plasmodium falciparum 3D7;secreted protein with altered thrombospondin repeat domain;SPATR;null;null;null;null;null;"GO:0045177;GO:0009986;GO:0020009;GO:0020008";"apical part of cell;cell surface;microneme;rhoptry";null;null;GO:0098609;cell-cell adhesion;null
PF3D7_0213300;PF3D7_0213300.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;GO:0005739;mitochondrion;null;null;null;null;null
PF3D7_0213400;PF3D7_0213400.1;Plasmodium falciparum 3D7;protein kinase 7;PK7;null;"GO:0005524;GO:0004672";"ATP binding;protein kinase activity";GO:0006468;protein phosphorylation;GO:0005737;cytoplasm;GO:0004672;protein kinase activity;"GO:0006468;GO:0020014";"protein phosphorylation;schizogony";null
PF3D7_0213700;PF3D7_0213700.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;mitochondrion;null;null;null;null;null;null;null;null;null;null;GO:0005739
PF3D7_0213800;PF3D7_0213800.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;GO:0045177;apical part of cell;null;null;null;null;null
PF3D7_0214300;PF3D7_0214300.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0214600;PF3D7_0214600.1;Plasmodium falciparum 3D7;serine/threonine protein kinase STK2, putative;STK2;null;"GO:0005524;GO:0004672";"ATP binding;protein kinase activity";GO:0006468;protein phosphorylation;null;null;GO:0004672;protein kinase activity;GO:0006468;protein phosphorylation;null
PF3D7_0215200;PF3D7_0215200.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0215400;PF3D7_0215400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;GO:0005515;protein binding;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_0215500;PF3D7_0215500.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0215700;PF3D7_0215700.1;Plasmodium falciparum 3D7;DNA-directed RNA polymerase II subunit RPB2, putative;RPB2;null;"GO:0003677;GO:0003899";"DNA binding;DNA-directed 5'-3' RNA polymerase activity";GO:0006351;transcription, DNA-templated;GO:0005634;nucleus;null;null;GO:0006366;transcription by RNA polymerase II;null
PF3D7_0216600;PF3D7_0216600.1;Plasmodium falciparum 3D7;sugar transporter, putative;null;integral component of membrane;null;null;null;null;null;null;null;null;null;null;GO:0016021
PF3D7_0216900;PF3D7_0216900.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0217200;PF3D7_0217200.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0217500;PF3D7_0217500.1;Plasmodium falciparum 3D7;calcium-dependent protein kinase 1;CDPK1;null;"GO:0005524;GO:0005509;GO:0004672";"ATP binding;calcium ion binding;protein kinase activity";GO:0006468;protein phosphorylation;"GO:0016020;GO:0005886;GO:0020003;GO:0020005";"membrane;plasma membrane;symbiont-containing vacuole;symbiont-containing vacuole membrane";"GO:0009931;GO:0005515";"calcium-dependent protein serine/threonine kinase activity;protein binding";"GO:0044409;GO:0035891;GO:0006468;GO:0042493";"entry into host;exit from host cell;protein phosphorylation;response to drug";null
PF3D7_0218800;PF3D7_0218800.1;Plasmodium falciparum 3D7;ribonuclease P;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0219200;PF3D7_0219200.1;Plasmodium falciparum 3D7;40S ribosomal protein S30;null;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;GO:0022627;cytosolic small ribosomal subunit;GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_0219400;PF3D7_0219400.1;Plasmodium falciparum 3D7;ribosome associated membrane protein RAMP4, putative;null;endoplasmic reticulum;null;null;null;null;null;null;null;null;null;null;GO:0005783
PF3D7_0219400;PF3D7_0219400.2;Plasmodium falciparum 3D7;unspecified product;null;endoplasmic reticulum;null;null;null;null;null;null;null;null;null;null;GO:0005783
PF3D7_0219700;PF3D7_0219700.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTc), unknown function;GEXP20;membrane;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;GO:0016020
PF3D7_0219900;PF3D7_0219900.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;membrane;null;null;null;null;GO:0043657;host cell;null;null;null;null;GO:0016020
PF3D7_0220100;PF3D7_0220100.1;Plasmodium falciparum 3D7;DnaJ protein, putative;null;membrane;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;GO:0016020
PF3D7_0220200;PF3D7_0220200.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;membrane;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;GO:0016020
PF3D7_0220900;PF3D7_0220900.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0221000;PF3D7_0221000.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;"GO:0043657;GO:0016020";"host cell;membrane";null;null;null;null;null
PF3D7_0221500;PF3D7_0221500.1;Plasmodium falciparum 3D7;Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0221600;PF3D7_0221600.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0221900;PF3D7_0221900.1;Plasmodium falciparum 3D7;erythrocyte membrane protein 1 (PfEMP1), pseudogene;null;integral component of membrane;GO:0046789;host cell surface receptor binding;GO:0009405;pathogenesis;null;null;null;null;null;null;GO:0016021
PF3D7_0222200;PF3D7_0222200.1;Plasmodium falciparum 3D7;exported protein family 3;EPF3;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_0222500;PF3D7_0222500.1;Plasmodium falciparum 3D7;rifin;RIF;membrane;null;null;null;null;GO:0020002;host cell plasma membrane;null;null;GO:0020033;antigenic variation;GO:0016020
PF3D7_0222700;PF3D7_0222700.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;GO:0020002;host cell plasma membrane;null;null;GO:0020033;antigenic variation;null
PF3D7_0223100;PF3D7_0223100.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";GO:0046789;host cell surface receptor binding;"GO:0020033;GO:0020035;GO:0020012;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;evasion or tolerance of host immune response;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0300100;PF3D7_0300100.1;Plasmodium falciparum 3D7;erythrocyte membrane protein 1, PfEMP1;VAR;integral component of membrane;GO:0046789;host cell surface receptor binding;GO:0009405;pathogenesis;null;null;null;null;null;null;GO:0016021
PF3D7_0300600;PF3D7_0300600.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function, fragment;null;null;null;null;null;null;null;null;null;null;null;null;null
